0,11,88,0,058,0
0,02,11,88,0,058,0
0,12,11,88,0,058,0
0,22,11,88,0,058,0
0,32,11,88,0,058,0
0,42,11,88,0,058,0
0,52,11,88,0,058,0
0,62,11,88,0,058,0
0,72,11,88,0,058,0
0,82,11,88,0,058,0
0,92,11,88,0,058,0
1,02,11,88,0,058,0
1,12,11,88,0,058,0
1,22,11,88,0,058,0
1,32,11,88,0,058,0
1,42,11,88,0,058,0
1,52,11,88,0,058,0
1,62,11,88,0,058,0
1,72,11,88,0,058,0
1,82,11,88,0,058,0
1,92,11,88,0,058,0
2,02,11,88,0,058,0
2,12,11,88,0,058,0
2,22,11,88,0,058,0
2,32,11,88,0,058,0
2,42,11,88,0,058,0
2,52,11,88,0,058,0
2,62,11,88,0,058,0
2,72,11,88,0,058,0
2,82,11,88,0,058,0
2,92,11,88,0,058,0
3,02,11,88,0,058,0
3,12,11,88,0,058,0
3,22,11,88,0,058,0
3,32,11,88,0,058,0
3,42,11,88,0,058,0
3,52,11,88,0,058,0
3,62,11,88,0,058,0
3,72,11,88,0,058,0
3,82,11,88,0,058,0
3,92,11,88,0,058,0
4,02,11,88,0,058,0
4,12,11,88,0,058,0
